timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
7.20351E+12,-0.23989868,0.034698486,9.610947,0.001846314,0.002105713,-3.66E-04,0,0,0
7.20351E+12,-0.22538757,0.060699463,9.60408,9.31E-04,0.001937866,-3.66E-04,0,0,0
7.20352E+12,-0.23930359,0.06539917,9.660019,0,0,0,0,0,0
7.20352E+12,-0.2349701,0.037765503,9.641403,0.001998901,0.001678467,5.04E-04,0,0,0
7.20353E+12,-0.23840332,0.05911255,9.626801,0.001754761,-3.05E-05,-3.66E-04,0,0,0
7.20353E+12,-0.2519989,0.07472229,9.565765,9.31E-04,-3.05E-05,-3.66E-04,0,0,0
7.20354E+12,-0.2443695,0.07949829,9.637817,9.31E-04,2.44E-04,-6.41E-04,-13.685608,19.53888,-46.463013
7.20354E+12,-0.23831177,0.07925415,9.627899,6.26E-04,4.43E-04,-0.001434326,-13.685608,19.53888,-46.463013
7.20355E+12,-0.23078918,0.06869507,9.665909,-1.37E-04,-0.00138855,-0.001144409,-13.685608,19.53888,-46.463013
7.20355E+12,-0.23072815,0.056549072,9.673019,-1.37E-04,-0.001815796,-7.17E-04,-13.685608,19.53888,-46.463013
7.20356E+12,-0.2168274,0.059188843,9.616623,2.44E-04,-7.17E-04,-0.001815796,-13.749695,19.450378,-46.621704
7.20356E+12,-0.23487854,0.082611084,9.60881,9.31E-04,-4.43E-04,-0.002090454,-13.749695,19.450378,-46.621704
7.20357E+12,-0.23826599,0.061553955,9.630524,0.001358032,-0.001098633,-0.001434326,-13.749695,19.450378,-46.621704
7.20357E+12,-0.22479248,0.043029785,9.632156,0.002426148,-0.001541138,-0.001434326,-13.749695,19.450378,-46.621704
7.20358E+12,-0.22659302,0.07209778,9.574829,0.002624512,-0.001739502,-9.92E-04,-14.347839,18.338013,-48.512268
7.20358E+12,-0.24403381,0.10421753,9.546799,0.001480103,-0.001617432,1.53E-04,-14.347839,18.338013,-48.512268
7.20359E+12,-0.26716614,0.084625244,9.615997,0.001464844,-0.002716065,-3.66E-04,-14.347839,18.338013,-48.512268
7.20359E+12,-0.24351501,0.06617737,9.680679,0.001998901,-0.002120972,-8.70E-04,-14.347839,18.338013,-48.512268
7.2036E+12,-0.22183228,0.06524658,9.678833,0.001998901,-0.001693726,-3.66E-04,-12.484741,18.338013,-47.302246
7.2036E+12,-0.23286438,0.06954956,9.664658,0.001419067,-0.002166748,-3.66E-04,-12.484741,18.338013,-47.302246
7.20361E+12,-0.2400055,0.065078735,9.646484,9.31E-04,-9.77E-04,-0.001556397,-12.484741,18.338013,-47.302246
7.20361E+12,-0.23857117,0.08099365,9.64859,9.31E-04,-0.001358032,-0.001831055,-12.484741,18.338013,-47.302246
7.20362E+12,-0.22109985,0.071762085,9.621048,2.29E-04,-0.002166748,-0.001434326,-12.535095,18.338013,-46.9635
7.20362E+12,-0.2381897,0.07551575,9.617065,5.65E-04,-0.001464844,-0.001434326,-12.535095,18.338013,-46.9635
7.20363E+12,-0.25135803,0.07424927,9.6783905,0.001663208,-0.001846314,6.10E-05,-12.535095,18.338013,-46.9635
7.20363E+12,-0.2590027,0.05055237,9.697617,0.001998901,-0.001464844,-7.17E-04,-12.535095,18.338013,-46.9635
7.20364E+12,-0.24349976,0.035232544,9.601517,4.58E-04,-0.001098633,-0.001434326,-12.800598,18.481445,-45.487976
7.20364E+12,-0.27355957,0.0630188,9.644226,-9.61E-04,-0.001098633,-6.10E-04,-12.800598,18.481445,-45.487976
7.20365E+12,-0.23661804,0.057510376,9.669128,-0.001205444,-0.001098633,-0.001205444,-12.800598,18.481445,-45.487976
7.20365E+12,-0.20614624,0.086135864,9.658569,5.19E-04,-0.001968384,-0.001434326,-12.800598,18.481445,-45.487976
7.20366E+12,-0.22875977,0.03363037,9.697952,3.05E-05,-0.002166748,-0.001434326,-12.65564,19.195557,-48.139954
7.20366E+12,-0.25003052,0.049850464,9.577713,-1.37E-04,-0.002166748,-0.00227356,-12.65564,19.195557,-48.139954
7.20367E+12,-0.25863647,0.05656433,9.603912,7.93E-04,-0.002166748,-0.002502441,-12.65564,19.195557,-48.139954
7.20367E+12,-0.23490906,0.07009888,9.659576,9.31E-04,-0.003143311,-5.65E-04,-12.65564,19.195557,-48.139954
7.20368E+12,-0.2467804,0.0642395,9.656494,0.001922607,-0.003234863,-0.001358032,-12.693787,18.937683,-47.9599
7.20368E+12,-0.23104858,0.08728027,9.672531,9.77E-04,-0.002227783,-0.001434326,-12.693787,18.937683,-47.9599
7.20369E+12,-0.2263031,0.016815186,9.63739,-1.22E-04,-0.002166748,-0.001434326,-12.693787,18.937683,-47.9599
7.20369E+12,-0.25424194,0.051651,9.598663,8.54E-04,-0.002166748,-0.001434326,-12.910461,17.99469,-47.221375
7.2037E+12,-0.24395752,0.04408264,9.659225,-1.07E-04,-0.001144409,-3.66E-04,-12.910461,17.99469,-47.221375
7.2037E+12,-0.22703552,0.109069824,9.630875,8.70E-04,-0.002227783,-3.05E-04,-12.910461,17.99469,-47.221375
7.20371E+12,-0.24047852,0.07687378,9.634796,9.16E-05,-0.003234863,6.26E-04,-12.910461,17.99469,-47.221375
7.20371E+12,-0.23977661,0.06652832,9.57457,0.002960205,-0.003143311,-3.66E-04,-13.171387,17.99469,-46.966553
7.20372E+12,-0.21980286,0.08453369,9.6465,0.001876831,-0.002166748,-3.66E-04,-13.171387,17.99469,-46.966553
7.20372E+12,-0.26298523,0.049728394,9.643509,8.54E-04,-0.002166748,-4.27E-04,-13.171387,17.99469,-46.966553
7.20373E+12,-0.24058533,0.0925293,9.646622,-3.20E-04,-0.002166748,-0.001251221,-13.171387,17.99469,-46.966553
7.20373E+12,-0.22221375,0.06858826,9.670563,-0.001205444,-0.001968384,-3.66E-04,-13.465881,18.482971,-46.870422
7.20374E+12,-0.2388916,0.07858276,9.643158,-0.001205444,-8.85E-04,-3.66E-04,-13.465881,18.482971,-46.870422
7.20374E+12,-0.26463318,0.036758423,9.627457,-9.61E-04,-2.90E-04,-6.10E-04,-13.465881,18.482971,-46.870422
7.20375E+12,-0.22039795,0.07318115,9.591644,-1.37E-04,-0.001098633,-0.001434326,-13.465881,18.482971,-46.870422
7.20375E+12,-0.24481201,0.0798645,9.613541,9.16E-05,-0.001342773,-0.001434326,-13.830566,19.233704,-46.57898
7.20376E+12,-0.2348938,0.07115173,9.630981,5.95E-04,-0.002166748,-0.001434326,-13.830566,19.233704,-46.57898
7.20376E+12,-0.22393799,0.060150146,9.606644,-1.37E-04,-0.002166748,-0.001785278,-13.830566,19.233704,-46.57898
7.20377E+12,-0.25213623,0.06272888,9.598068,-1.37E-04,-0.002166748,-0.002120972,-13.830566,19.233704,-46.57898
7.20377E+12,-0.25767517,0.07594299,9.572281,2.59E-04,-0.002578735,-0.001434326,-12.998962,18.165588,-46.463013
7.20378E+12,-0.2712555,0.08467102,9.600662,5.34E-04,-0.002456665,-0.001037598,-12.998962,18.165588,-46.463013
7.20379E+12,-0.22773743,0.038238525,9.599747,-5.34E-04,-0.001098633,-7.48E-04,-12.998962,18.165588,-46.463013
7.20379E+12,-0.2340393,0.030731201,9.61821,-2.59E-04,-0.001586914,-9.46E-04,-12.998962,18.165588,-46.463013
7.2038E+12,-0.2534027,0.035324097,9.607712,9.31E-04,-0.002166748,-3.66E-04,-13.427734,18.226624,-46.76056
7.2038E+12,-0.2462616,0.056167603,9.596054,3.97E-04,-0.002700806,-8.85E-04,-13.427734,18.226624,-46.76056
7.20381E+12,-0.25341797,0.06387329,9.64679,9.77E-04,-0.002685547,-0.001434326,-13.427734,18.226624,-46.76056
7.20381E+12,-0.25550842,0.056640625,9.604294,0.002532959,-0.00163269,-0.001968384,-13.427734,18.226624,-46.76056
7.20382E+12,-0.25497437,0.06283569,9.595535,0.002487183,-5.34E-04,-0.001358032,-13.876343,18.533325,-47.23816
7.20382E+12,-0.2437439,0.078933716,9.662369,0.001998901,-6.71E-04,-3.66E-04,-13.876343,18.533325,-47.23816
7.20383E+12,-0.2781372,0.06555176,9.685608,6.71E-04,-0.001098633,-0.001022339,-13.876343,18.533325,-47.23816
7.20383E+12,-0.2801361,0.066986084,9.626572,5.34E-04,-0.001098633,-0.002105713,-13.876343,18.533325,-47.23816
7.20384E+12,-0.2597351,0.053771973,9.599701,9.31E-04,-0.001815796,-0.001785278,-13.342285,18.852234,-47.1344
7.20384E+12,-0.25291443,0.0539093,9.590027,2.44E-04,-0.001495361,-0.002105713,-13.342285,18.852234,-47.1344
7.20385E+12,-0.24002075,0.07823181,9.626389,0.001312256,-0.002563477,-0.001037598,-13.342285,18.852234,-47.1344
7.20385E+12,-0.20329285,0.07640076,9.631165,0.001220703,-0.003234863,-3.66E-04,-13.342285,18.852234,-47.1344
7.20386E+12,-0.22961426,0.07714844,9.620224,1.22E-04,-0.002441406,-3.66E-04,-13.417053,18.339539,-47.491455
7.20386E+12,-0.21737671,0.08583069,9.644791,6.87E-04,-0.002166748,-0.001190186,-13.417053,18.339539,-47.491455
7.20387E+12,-0.24079895,0.08227539,9.56955,6.10E-05,-0.002166748,-5.65E-04,-13.417053,18.339539,-47.491455
7.20387E+12,-0.22784424,0.05267334,9.600143,6.71E-04,-0.001358032,-3.66E-04,-13.417053,18.339539,-47.491455
7.20388E+12,-0.2507019,0.086868286,9.654724,3.05E-05,-0.001098633,-0.002151489,-13.748169,18.501282,-47.895813
7.20388E+12,-0.23536682,0.06266785,9.539505,7.93E-04,-0.001098633,-0.001556397,-13.748169,18.501282,-47.895813
7.20389E+12,-0.24186707,0.070114136,9.5646515,9.31E-04,-0.001098633,-0.001434326,-13.748169,18.501282,-47.895813
7.20389E+12,-0.23364258,0.062072754,9.574844,0.001907349,-0.002090454,-0.001434326,-13.748169,18.501282,-47.895813
7.2039E+12,-0.23098755,0.053009033,9.637131,9.77E-04,-0.002166748,-0.001434326,-14.030457,19.53888,-47.80426
7.2039E+12,-0.22601318,0.06147766,9.580444,0.001876831,-0.002166748,-0.001434326,-14.030457,19.53888,-47.80426
7.20391E+12,-0.23344421,0.07823181,9.574387,9.31E-04,-0.002166748,-0.001434326,-14.030457,19.53888,-47.80426
7.20391E+12,-0.25775146,0.08068848,9.693863,9.16E-04,-0.001144409,7.02E-04,-14.115906,19.282532,-47.720337
7.20392E+12,-0.2225647,0.08207703,9.682526,-4.58E-05,-0.004302979,6.56E-04,-14.115906,19.282532,-47.720337
7.20392E+12,-0.21386719,0.0665741,9.6488495,0.001922607,-0.004241943,-2.90E-04,-14.115906,19.282532,-47.720337
7.20393E+12,-0.2917633,0.04269409,9.646271,9.31E-04,-0.003326416,6.26E-04,-14.115906,19.282532,-47.720337
7.20393E+12,-0.2738037,0.05279541,9.643646,9.31E-04,-0.004272461,-3.66E-04,-14.292908,18.754578,-47.373962
7.20394E+12,-0.28408813,0.083496094,9.675522,9.31E-04,-0.003234863,-3.66E-04,-14.292908,18.754578,-47.373962
7.20394E+12,-0.24995422,0.06286621,9.6258545,9.31E-04,-0.003067017,-3.66E-04,-14.292908,18.754578,-47.373962
7.20395E+12,-0.24269104,0.06430054,9.615662,0.001113892,-0.002166748,-1.68E-04,-14.292908,18.754578,-47.373962
7.20395E+12,-0.25367737,0.04473877,9.619858,0.00177002,-0.001953125,4.88E-04,-14.373779,18.508911,-47.1344
7.20396E+12,-0.2642212,0.03804016,9.656601,0.001373291,-0.001327515,-5.80E-04,-14.373779,18.508911,-47.1344
7.20396E+12,-0.28353882,0.048339844,9.604477,0.002853394,-0.002166748,-0.001220703,-14.373779,18.508911,-47.1344
7.20397E+12,-0.27337646,0.046310425,9.633041,0.001998901,-0.002471924,-3.66E-04,-14.373779,18.508911,-47.1344
7.20397E+12,-0.25245667,0.045028687,9.632202,0.002304077,-0.003555298,-3.66E-04,-13.885498,18.411255,-46.847534
7.20398E+12,-0.2447052,0.05026245,9.58197,0.003067017,-0.003967285,-3.66E-04,-13.885498,18.411255,-46.847534
7.20398E+12,-0.2615204,0.07574463,9.579758,0.003433228,-0.002868652,-3.66E-04,-13.885498,18.411255,-46.847534
7.20399E+12,-0.24238586,0.06617737,9.579178,0.003753662,-0.002166748,-7.32E-04,-13.885498,18.411255,-46.847534
7.20399E+12,-0.2315216,0.06074524,9.619156,0.002700806,-0.002166748,-7.02E-04,-13.616943,19.862366,-46.53015
7.204E+12,-0.2394867,0.07470703,9.662247,6.56E-04,-0.002624512,2.59E-04,-13.616943,19.862366,-46.53015
7.204E+12,-0.2277832,0.080947876,9.620911,1.98E-04,-0.003707886,-8.24E-04,-13.616943,19.862366,-46.53015
7.20401E+12,-0.24880981,0.06890869,9.712311,0.001495361,-0.004302979,-0.001922607,-13.616943,19.862366,-46.53015
7.20401E+12,-0.26153564,0.0683136,9.666687,9.31E-04,-0.005340576,-9.46E-04,-13.685608,20.91217,-46.463013
7.20402E+12,-0.23553467,0.043914795,9.645325,-9.16E-05,-0.004928589,7.02E-04,-13.685608,20.91217,-46.463013
7.20402E+12,-0.2427063,0.015548706,9.638809,-0.001739502,-0.003768921,7.02E-04,-13.685608,20.91217,-46.463013
7.20403E+12,-0.23144531,0.057373047,9.62262,-0.001678467,-0.004302979,7.02E-04,-13.685608,20.91217,-46.463013
7.20403E+12,-0.25804138,0.085357666,9.633347,-0.001205444,-0.004302979,7.02E-04,-13.685608,19.815063,-47.746277
7.20404E+12,-0.28399658,0.061462402,9.635651,-0.001861572,-0.004302979,6.10E-05,-13.685608,19.815063,-47.746277
7.20404E+12,-0.2599945,0.05303955,9.6651,-0.001617432,-0.004974365,3.05E-04,-13.685608,19.815063,-47.746277
7.20405E+12,-0.24191284,0.044387817,9.675446,-0.001205444,-0.004089356,7.02E-04,-13.685608,19.815063,-47.746277
